localidad,vif_casos,lesiones_casos,spa_casos,poblacion_ref,vif_tasa,lesiones_tasa,spa_tasa
ANTONIO NARINO,3383.0,2859.0,1185.0,109176,387.33329669524437,327.3384260276984,135.67542316992746
BARRIOS UNIDOS,5528.0,4430.0,1566.0,243465,283.8190294292814,227.44542336680834,80.40170044975663
BOSA,31314.0,14132.0,5943.0,673077,581.5456478233546,262.451398576983,110.36998738628715
CHAPINERO,5119.0,4435.0,2185.0,139701,458.03179647962435,396.8296576259297,195.50683244930244
CIUDAD BOLIVAR,32707.0,16160.0,4909.0,707569,577.8058394305008,285.4845251841163,86.7229909733185
ENGATIVA,26311.0,12493.0,5767.0,887080,370.75291969157234,176.04105604905985,81.26380935203139
FONTIBON,12180.0,6078.0,4067.0,394648,385.7868277553668,192.51332833309684,128.81732581946443
KENNEDY,34615.0,20577.0,7581.0,1088443,397.52885543845656,236.31232871174694,87.0624368938015
LA CANDELARIA,2128.0,1777.0,1634.0,24088,1104.2842909332448,922.1396545998007,847.9325805380272
LOS MARTIRES,8819.0,6496.0,7099.0,99119,1112.173246299902,819.2173044522241,895.2622605151385
PUENTE ARANDA,9643.0,7077.0,4242.0,258287,466.6804755949777,342.4969123494407,205.29488514714254
RAFAEL URIBE URIBE,12593.0,9394.0,2798.0,374246,420.61237795460744,313.76420856869544,93.45457266076325
SAN CRISTOBAL,17723.0,9979.0,2993.0,404697,547.4157208973627,308.22442469304195,92.44570629384454
SANTA FE,7813.0,6441.0,4877.0,110048,887.4536565862169,731.6125690607735,553.962816225647
SUBA,33859.0,15043.0,6101.0,1218513,347.33933901402776,154.31718824501667,62.58652964720114
SUMAPAZ,57.0,34.0,4.0,6531,109.09508497932934,65.07426121574032,7.65579543714592
TEUSAQUILLO,4859.0,3690.0,2428.0,153025,396.9122692370527,301.42133638294393,198.33360561999675
TUNJUELITO,7002.0,4758.0,2472.0,199430,438.8757960186532,298.22494108208394,154.9415835130121
USAQUEN,12562.0,6999.0,2979.0,501999,312.79942788730654,174.27823561401516,74.17843461839566
USME,15558.0,9623.0,3408.0,457302,425.2660167679127,263.0373363772736,93.15507039112009
